D:/personal/waibu/src/LanswitchTest/Untitled/RxStreamBlockResults.csv for periodic results

================== Periodic Results: RxStreamBlockResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #2
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #3
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #4
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #5
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #6
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #7
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #8
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #9
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #10
ResultObject,ResultObjectName,ResultParent,ResultParentName,BitCount,BitRate,DroppedFrameCount,DroppedFramePercent,DroppedFramePercentRate,DroppedFrameRate,FrameCount,FrameRate,AvgJitter,MaxJitter,MinJitter,OctetCount,OctetRate,RxPort,SigFrameCount,SigFrameRate,TotalJitter,

rxstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: RxStreamBlockResults Record #11
