D:/personal/waibu/src/LanswitchTest/Untitled/TxStreamBlockResults.csv for periodic results

================== Periodic Results: TxStreamBlockResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #2
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #3
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #4
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #5
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #6
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #7
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #8
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,0,0,0,0,0,0,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #9
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,2,116,0,0,0,928,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #10
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,2,116,0,0,0,928,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #11
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,2,116,0,0,0,928,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #12
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,2,116,0,0,0,928,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #13
ResultObject,ResultObjectName,ResultParent,ResultParentName,BlockId,FrameCount,OctetCount,FrameRate,OctetRate,BitRate,BitCount,L1BitCount,L1BitRate,CounterTimestamp,CellCount,CellRate,

txstreamblockresults4,"",port1,"Port //3/1",0,64700,3752600,52211,3028261,24226088,30020800,0,0,0,0,0,

================== Periodic Results: TxStreamBlockResults Record #14
